time old	time	flow (L/s)	raw (NTU)	sed (NTU)	filter 1 (NTU)	filter 2 (NTU)	filter (NTU)	coag (mg/L)	Cl (mg/L)	Temperature
2/20/2016 11:35	42420.48	18	2.08	0.56	0	0	0	6.97	1.01	18
2/21/2016 5:00	42421.21	16	1.97	0.6	0	0	0	7.1	1	17
2/22/2016 11:50	42422.49	18	1.87	0.83	0.25	0.31	0.28	9.25	1	17
2/22/2016 18:30	42422.77	15	1.92	0.5	0	0	0	9.32	0.32	18
2/23/2016 5:00	42423.21	16	2	0.4	0	0	0	9	1	18
2/23/2016 13:19	42423.55	16	1.9	0.45	0.13	0.1	0.115	8.1	0.71	18
2/23/2016 18:22	42423.77	14	1.92	0.33	0	0	0	8.78		18
2/23/2016 23:45	42423.99	13	2.02	0.31	0	0	0	6.24	1.08	18
2/24/2016 6:00	42424.25	13	1.9	0.31	0	0	0	6	0.82	18
2/24/2016 13:05	42424.55	22	4.01	0.73	0.29	0.16	0.225	6.23	0.8	18
2/24/2016 18:00	42424.75	16	2.12	0.54	0.1	0.04	0.07	6.72		19
2/25/2016 0:00	42425.00	16	10.14	1.5	0.67	0.51	0.59	13.87	1.32	17
2/25/2016 6:00	42425.25	15	6.13	0.92	0.33	0.3	0.315	13.22	1.05	18
2/25/2016 18:00	42425.75	15	4	0.6	0	0	0	11.78	0.82	17
2/26/2016 5:00	42426.21	15	3.72	0.72	0.09	0.09	0.09	11.67	1	16
2/26/2016 18:10	42426.76	16	2.05	0.01	0	0	0	11.56	10.07	16
2/26/2016 23:10	42426.97	16	2.16	0.21	0	0	0	9.16	0.9	16
2/27/2016 13:30	42427.56	16	2.03	0.87	0.33	0.4	0.365	8.78	1.1	15
2/27/2016 18:05	42427.75	16	1.82	0.74	0.1	0.09	0.095	8.63	0.96	15
2/28/2016 12:00	42428.50	16	2.09	0.66	0	0	0	9.18	1.1	15
2/28/2016 18:30	42428.77	16	1.96	0.25	0	0	0	10.18	1	16
2/28/2016 23:45	42428.99	16	3.1	0.51	0.1	0.09	0.095	10.08	0.98	16
